union.163.com                 	59.111.0.187
mail.163.com                  	123.125.50.26, 123.125.50.28, 123.125.50.7
blog.163.com                  	60.217.239.4
music.163.com                 	223.252.199.66, 59.111.160.195, 59.111.160.197
shop.163.com                  	223.252.195.137, 223.252.195.168
tuan.163.com                  	223.252.195.137, 223.252.195.168
myhome.163.com                	223.252.223.185
profile.163.com               	115.236.115.198
bookmarks.163.com             	202.106.168.74
corp.163.com                  	116.242.0.146, 219.238.2.185
media.163.com                 	116.242.0.146, 219.238.2.185
active.163.com                	123.126.66.66
love.163.com                  	114.113.201.36, 114.113.201.40
auto.163.com                  	116.242.0.146, 219.238.2.185
buzz.163.com                  	123.58.179.173
life.163.com                  	223.252.199.10
home.163.com                  	116.242.0.146, 219.238.2.185
domain.163.com                	123.58.177.51
open.163.com                  	116.242.0.146, 219.238.2.185
mail2.163.com                 	123.58.177.13
data.163.com                  	116.242.0.146, 219.238.2.185
hi.163.com                    	223.252.199.10
ym.163.com                    	123.58.177.51
email2.163.com                	123.58.177.13
brain.163.com                 	59.111.19.5
qing.163.com                  	123.58.180.165, 123.58.180.166
mart.163.com                  	123.125.50.64
safe.163.com                  	124.202.166.57, 219.238.2.185, 60.207.246.98
mcache.mail.163.com           	124.202.166.57, 219.238.2.185, 60.207.246.98
chrome.163.com                	220.181.76.82, 220.181.76.83, 220.181.76.84
live.163.com                  	123.126.66.66
yuedu.163.com                 	223.252.199.7
euro.163.com                  	202.108.42.200
login.163.com                 	123.126.96.13
reg.163.com                   	123.126.96.13
photo.163.com                 	123.58.180.117, 123.58.180.118
sport.163.com                 	221.204.31.100
developer.163.com             	123.126.62.210, 123.126.62.212
analytics.163.com             	223.252.195.133, 223.252.195.164
zhidao.163.com                	59.111.0.193
xy-cache.163.com              	59.111.0.193
client.163.com                	123.58.182.101
help.163.com                  	111.206.239.24, 61.149.9.224
news.163.com                  	111.206.239.24, 61.149.9.224
card.163.com                  	123.125.50.97
cards.163.com                 	123.125.50.97
emarketing.163.com            	106.39.242.43
mind.163.com                  	59.111.19.5
research.163.com              	106.2.50.106
images.163.com                	124.202.166.57, 60.207.246.98
voice.163.com                 	61.135.252.46
corpmail.163.com              	203.81.21.12
email.163.com                 	124.202.166.57, 219.238.2.185, 60.207.246.98
calendar.163.com              	202.106.185.54
shopping.163.com              	220.181.76.82, 220.181.76.83, 220.181.76.84
young.163.com                 	59.111.0.193
post.163.com                  	123.58.177.184
webmail.vip.163.com           	123.58.177.184
solutions.163.com             	202.108.42.200
pop3.163.com                  	123.125.50.29
catalog.163.com               	220.181.8.63
pop.163.com                   	123.125.50.29
mall.163.com                  	223.252.195.137, 223.252.195.168
ally.163.com                  	106.2.69.201
android.163.com               	192.168.131.153
assistant.163.com             	223.252.199.10
assist.163.com                	223.252.199.10
attitude.163.com              	61.135.251.139
ball.163.com                  	112.84.133.11, 112.90.222.8, 123.138.187.54, 123.159.202.136, 139.209.89.125, 218.60.108.14, 218.60.45.42, 221.194.130.173, 221.204.171.62
battle.163.com                	106.2.69.62
bobo.163.com                  	59.111.137.59
boba.163.com                  	123.126.62.210, 123.126.62.212
bolo.163.com                  	123.126.66.66
buff.163.com                  	59.111.0.240
byte.163.com                  	202.108.42.200
butter.163.com                	123.58.183.67
cake.163.com                  	106.2.95.29, 59.111.0.134
call.163.com                  	106.2.36.210, 106.2.36.211
s-cache.nie.163.com           	106.2.95.29, 59.111.0.134
campus.163.com                	115.236.126.253
chao.163.com                  	106.2.95.29, 59.111.0.134
